institution,codigo,name,classification,type,departamento,provincia,distrito,ubigeo,address,codigo_DISA,red,microred,category,phone,opening_hours,longitude,latitude
Gobierno Regional,7228,Najem,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Aramango,10202,Otros Najem S/N Numero S/N Distrito Aramango Provincia Bagua Departamento Amazonas ,1,2,2,I-1,SN,8:00 - 14:00,-78.44084408,-5.26157904
Gobierno Regional,7009,Montenegro,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Aramango,10202,Otros Montenegro S/N Numero S/N Distrito Aramango Provincia Bagua Departamento Amazonas ,1,2,2,I-1,SN,8:00 - 14:00,-78.42946336,-5.30635244
Gobierno Regional,5057,El Porvenir de Aramango,Centros de salud o centros medicos,Establecimiento de salud sin internamiento,Amazonas,Bagua,Aramango,10202,Otros El Porvenir de Aramango S/N Numero S/N Distrito Aramango Provincia Bagua Departamento Amazonas ,1,2,10,I-3,SN,8:00 - 14:00,-78.42750406,-5.48432278
Gobierno Regional,5054,Miraflores de Aramango,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Aramango,10202,Otros Miraflores de Aramango S/N Numero S/N Distrito Aramango Provincia Bagua Departamento Amazonas ,1,2,2,I-1,SN,8:00 - 14:00,-78.40846308,-5.44825761
Gobierno Regional,7264,El Cedron,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Aramango,10202,Otros El Cedro S/N Numero S/N Distrito Aramango Provincia Bagua Departamento Amazonas ,1,2,2,I-1,SN,8:00 - 14:00,-78.40117231,-5.43090611
Gobierno Regional,5058,Numparket,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Aramango,10202,Otros Numparket S/N Numero S/N Distrito Aramango Provincia Bagua Departamento Amazonas ,1,2,2,I-1,SN,8:00 - 14:00,-78.38642907,-5.44369514
Gobierno Regional,7263,Guayaquil,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Aramango,10202,Otros Guayaquil S/N Numero S/N Distrito Aramango Provincia Bagua Departamento Amazonas ,1,2,2,I-1,SN,8:00 - 14:00,-78.38579224,-5.43010719
Gobierno Regional,7227,Selva Verde,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Aramango,10202,Otros Seva Verde S/N Numero S/N Distrito Aramango Provincia Bagua Departamento Amazonas ,1,2,2,I-1,SN,8:00 - 14:00,-78.36697712,-5.41776606
Gobierno Regional,5053,Aramango,Centros de salud o centros medicos,Establecimiento de salud sin internamiento,Amazonas,Bagua,Aramango,10202,Avenida 28 de Julio S/N - Aramango Numero S/N Distrito Aramango Provincia Bagua Departamento Amazonas ,1,2,2,I-3,992722027,8:00 - 14:00,-77.77073679,-3.63931836
Gobierno Regional,7759,Casual,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Bagua,10201,Otros Centro Poblado Casual Distrito Bagua Provincia Bagua Departamento Amazonas ,1,2,6,I-1,SN,8:00 - 14:00,-78.55292425,-5.58867832
Gobierno Regional,7007,Acerillo,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Bagua,10201,Otros Anexo Acerillo S/N Numero S/N Distrito Bagua Provincia Bagua Departamento Amazonas ,1,2,6,I-1,SN,8:00 - 14:00,-78.54861946,-5.53913422
Gobierno Regional,7276,La Primavera,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Bagua,10201,Otros Sector la Primavera Distrito Bagua Provincia Bagua Departamento Amazonas ,1,2,6,I-1,SN,8:00 - 14:00,-78.54057436,-5.63474476
Essalud,9068,Hospital I Heroes del Cenepa,Hospitales o clinicas de atencion general,Establecimiento de salud con internamiento,Amazonas,Bagua,Bagua,10201,Jirón Lambayeque N° 517,1,0,0,II-1,041-471424,24 HORAS,-78.53341476,-5.63313044
Sanidad de la Policia Nacional del Peru,12954,Puesto de Salud  Pnp - Bagua,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Bagua,10201,Pasaje Psj  Alfonso Ugarte 193 Distrito Bagua Provincia Bagua Departamento Amazonas ,1,0,0,I-2,41471225,08:00 - 14:00,-78.53230619,-5.63918393
Gobierno Regional,6998,Bagua,Centros de salud o centros medicos,Establecimiento de salud sin internamiento,Amazonas,Bagua,Bagua,10201,Jir0n Jirón Ayacucho N° 1740 - Bagua Capital Distrito Bagua Provincia Bagua Departamento Amazonas ,1,2,6,I-3,SN,8:00 - 20:00,-78.53222414,-5.6313198
Privado,14068,Empresa Prestadora de Servicios de Salud  Consultorios Medicos Especializados Pasteur Srl.,Consultorios medicos y de otros profesionales de la salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Bagua,10201,Jirón Comercio 479 Bagua-Amazonas,1,0,0,Sin categoria,041-471721,07:00  21:00,-78.53203895,-5.64020963
Gobierno Regional,5044,Hospital de Apoyo Gustavo Lanatta Lujan,Hospitales o clinicas de atencion general,Establecimiento de salud con internamiento,Amazonas,Bagua,Bagua,10201,Avenida Heroes del Cenepa N° 980 - Bagua Capital Avenida Heroes del Cenepa N° 980 - Bagua Capital Bagua Bagua Amazonas ,1,2,0,II-1,041-771159,24 HORAS,-78.53075225,-5.63951591
Gobierno Regional,14477,Laboratorio de Referencia Regional  en Salud Publica Bagua,Consultorios medicos y de otros profesionales de la salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Bagua,10201,Avenida Heroes Cenepa N°980 Bagua,1,2,6,Sin categoria,041-471604,8:00-13:00 Y 14:30-1,-78.53001363,-5.63862723
Gobierno Regional,5048,Tomaque,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Bagua,10201,Otros Tomaque S/N Numero S/N Distrito Bagua Provincia Bagua Departamento Amazonas ,1,2,6,I-1,sn,8:00 - 14:00,-78.50558236,-5.64934727
Gobierno Regional,5045,Espital,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Bagua,10201,Otros Espital S/N Numero S/N Distrito Bagua Provincia Bagua Departamento Amazonas ,1,2,6,I-1,sn,8:00 - 14:00,-78.49993273,-5.51853027
Gobierno Regional,7300,Naranjos,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Bagua,10201,Otros Centro Poblado Menor Naranjos Centro Poblado Menor Naranjos Bagua Bagua Amazonas ,1,2,6,I-1,SN,8:00 - 14:00,-78.49669412,-5.49428538
Gobierno Regional,5047,Cruce Alenya,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Bagua,10201,Otros Cruce Alenya S/N Numero S/N Distrito Bagua Provincia Bagua Departamento Amazonas ,1,2,6,I-1,sn,8:00 - 14:00,-78.48929543,-5.67015768
Gobierno Regional,7299,Alenya,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Copallin,10203,Otros Centro Poblado Menor Alenya Distrito Copallin Provincia Bagua Departamento Amazonas ,1,2,6,I-1,SN,8:00 - 14:00,-78.47972571,-5.68677213
Gobierno Regional,5063,Copallin,Centros de salud o centros medicos,Establecimiento de salud sin internamiento,Amazonas,Bagua,Copallin,10203,Avenida San Martin S/N - Copallin Numero S/N Distrito Copallin Provincia Bagua Departamento Amazonas ,1,2,3,I-3,730367,8:00 - 14:00,-78.42441106,-5.67553775
Gobierno Regional,7004,Lluhuana,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Copallin,10203,Otros Lluhuana S/N Numero S/N Distrito Copallin Provincia Bagua Departamento Amazonas ,1,2,3,I-2,SN,8:00 - 14:00,-78.40024253,-5.67723361
Gobierno Regional,5065,Chonza Laguna,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Copallin,10203,Otros Chonza Laguna S/N Numero S/N Distrito Copallin Provincia Bagua Departamento Amazonas ,1,2,3,I-1,SN,8:00 - 14:00,-78.39942245,-5.63915903
Gobierno Regional,5064,Pan de Azucar,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Copallin,10203,Otros Pan de Azucar S/N Numero S/N Distrito Copallin Provincia Bagua Departamento Amazonas ,1,2,3,I-1,SN,8:00 A 1:00,-78.38651325,-5.67129736
Gobierno Regional,7005,Santa Cruz de Morochal,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Copallin,10203,Otros Santa Cruz de Morochal S/N Numero S/N Distrito Copallin Provincia Bagua Departamento Amazonas ,1,2,3,I-1,SN,8:00 - 14:00,-78.36044303,-5.66177651
Gobierno Regional,7758,Union Progreso,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,El parco,10204,Otros Centro Poblado Union Progreso  S/N Numero S/N Distrito El Parco Provincia Bagua Departamento Amazonas ,1,2,6,I-1,SN,8:00 - 14:00,-78.48223036,-5.57428761
Gobierno Regional,7262,Tolopampa,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,El parco,10204,Otros Tolopampa S/N Numero S/N Distrito El Parco Provincia Bagua Departamento Amazonas ,1,2,6,I-1,SN,8:00 - 14:00,-78.48162929,-5.60118938
Gobierno Regional,5193,El Parco,Centros de salud o centros medicos,Establecimiento de salud sin internamiento,Amazonas,Bagua,El parco,10204,Jirón Amazonas S/N Numero S/N Distrito El Parco Provincia Bagua Departamento Amazonas ,1,2,6,I-3,800603,8:00 - 16:00,-78.47681192,-5.62495543
Gobierno Regional,5077,Tuntus,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Imaza,10205,Otros Comunidad Nativa Alto Tuntus S/N Numero S/N Distrito Imaza Provincia Bagua Departamento Amazonas ,1,2,7,I-1,SN,8:00 - 14:00,-78.59098482,-4.66263425
Gobierno Regional,5076,Yanat,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Imaza,10205,Otros Comunidad Nativa de Yanat S/N Numero S/N Distrito Imaza Provincia Bagua Departamento Amazonas ,1,2,7,I-1,SN,8:00 - 14:00,-78.53825863,-4.94334959
Gobierno Regional,5081,Wayampiak,Centros de salud o centros medicos,Establecimiento de salud sin internamiento,Amazonas,Bagua,Imaza,10205,Otros Comunidad Nativa Wayampiak S/N Numero S/N Distrito Imaza Provincia Bagua Departamento Amazonas ,1,2,7,I-3,SN,8:00 - 16:00,-78.52249417,-4.86901258
Gobierno Regional,5078,Chija,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Imaza,10205,Otros Comunidad Nativa de Chija S/N Numero S/N Distrito Imaza Provincia Bagua Departamento Amazonas ,1,2,7,I-1,SN,8:00 - 14:00,-78.52230725,-4.77071028
Gobierno Regional,5080,Sijiak,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Imaza,10205,Otros Comunidad Nativa de Sijiak S/N Numero S/N Distrito Imaza Provincia Bagua Departamento Amazonas ,1,2,7,I-1,SN,8:00 - 14:00,-78.50087132,-4.92345364
Gobierno Regional,5194,Kunchin,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Imaza,10205,Calle Calle Principal S/N - Comunidad Nativa Kunchin Numero S/N Distrito Imaza Provincia Bagua Departamento Amazonas ,1,2,4,I-2,SN,8:00 - 14:00,-78.42923854,-5.04060814
Gobierno Regional,7002,Wantsa,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Imaza,10205,Otros Comunidad Nativa de Wantsa Distrito Imaza Provincia Bagua Departamento Amazonas ,1,2,4,I-1,SN,8:00 - 14:00,-78.38723043,-4.99684765
Gobierno Regional,5088,Samaren-Yupicusa,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Imaza,10205,Otros Cc.Nn. Samaren Yapicusa S/N Numero S/N Distrito Imaza Provincia Bagua Departamento Amazonas ,1,2,5,I-1,SN,8:00 - 14:00,-78.37917769,-5.18955644
Gobierno Regional,12774,San Ramon,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Imaza,10205,Otros Cc.Nn San Ramon Distrito Imaza Provincia Bagua Departamento Amazonas ,1,2,5,I-1,041-840042,8:00 - 14:00,-78.36667255,-5.16693653
Gobierno Regional,14208,Durand,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Imaza,10205,Otros Caserio Durand Distrito Imaza Provincia Bagua Departamento Amazonas ,1,2,5,I-1,SN,8:00-14:00,-78.36399959,-5.2380859
Gobierno Regional,7231,Tenashnum,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Imaza,10205,Otros Comunidad Nativa de Tenashnum S/N Numero S/N Distrito Imaza Provincia Bagua Departamento Amazonas ,1,2,4,I-1,SN,8:00 - 14:00,-78.35811848,-5.09401363
Gobierno Regional,5089,Wawas,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Imaza,10205,Otros Wawas S/N Numero S/N Distrito Imaza Provincia Bagua Departamento Amazonas ,1,2,5,I-2,SN,8:00 - 14:00,-78.34571655,-5.22613694
Gobierno Regional,7136,San Rafael,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Imaza,10205,Otros San Rafael S/N Numero S/N Distrito Imaza Provincia Bagua Departamento Amazonas ,1,2,5,I-1,SN,8:00 - 14:00,-78.34421527,-5.1544898
Gobierno Regional,7230,Yamayakat,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Imaza,10205,Otros Comunidad Nativa Yamayakat S/N Numero S/N Distrito Imaza Provincia Bagua Departamento Amazonas ,1,2,4,I-1,SN,8:00 - 14:00,-78.33984079,-5.05625558
Gobierno Regional,5082,Wajuyat,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Imaza,10205,Otros Comunidad Nativa de Wajuyat S/N Numero S/N Distrito Imaza Provincia Bagua Departamento Amazonas ,1,2,4,I-1,SN,8:00 - 14:00,-78.33730804,-4.93741394
Gobierno Regional,5070,Imaza,Centros de salud o centros medicos,Establecimiento de salud sin internamiento,Amazonas,Bagua,Imaza,10205,Otros Centro Poblado Imacita S/N Numero S/N Distrito Imaza Provincia Bagua Departamento Amazonas ,1,2,4,I-3,SN,8:00 - 14:00,-78.33673233,-5.05830398
Gobierno Regional,5079,Uut,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Imaza,10205,Otros Comunidad Nativa de Uut S/N Numero S/N Distrito Imaza Provincia Bagua Departamento Amazonas ,1,2,4,I-1,SN,8:00 - 14:00,-78.33260205,-4.9783113
Gobierno Regional,7435,Mesones Muro,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Imaza,10205,Otros Comunidad Nativa de Mesones Muro Distrito Imaza Provincia Bagua Departamento Amazonas ,1,2,4,I-1,SN,8:00 - 14:00,-78.33149575,-5.07389419
Gobierno Regional,5073,Numpatkaim,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Imaza,10205,Otros Centro Poblado Numpatkaim S/N Numero S/N Distrito Imaza Provincia Bagua Departamento Amazonas ,1,2,11,I-1,SN,8:00 - 14:00,-78.32544107,-4.85389725
Gobierno Regional,5085,Shushug,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Imaza,10205,Otros Cc.Nn. Shushug Distrito Imaza Provincia Bagua Departamento Amazonas ,1,2,5,I-1,SN,8:00 - 14:00,-78.32264191,-5.20103699
Gobierno Regional,7003,Nazareth,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Imaza,10205,Otros Comunidad Nativa de Nazareth S/N Numero S/N Distrito Imaza Provincia Bagua Departamento Amazonas ,1,2,5,I-1,SN,8:00 - 14:00,-78.31801561,-5.138695
Gobierno Regional,7234,Listra,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Imaza,10205,Otros Comunidad Nativa de Listra S/N Numero S/N Distrito Imaza Provincia Bagua Departamento Amazonas ,1,2,11,I-1,SN,8:00 - 14:00,-78.3176315,-4.77464297
Gobierno Regional,5072,Kusu,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Imaza,10205,Calle Calle Principal S/N - Comunidad Nativa Kusu Numero S/N Distrito Imaza Provincia Bagua Departamento Amazonas ,1,2,11,I-1,SN,8:00 - 14:00,-78.31395066,-4.78145065
Gobierno Regional,7001,Sukutin,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Imaza,10205,Otros Cc.Nn. Sukutin S/N Numero S/N Distrito Imaza Provincia Bagua Departamento Amazonas ,1,2,5,I-1,SN,8:00 - 14:00,-78.29388118,-5.30660281
Gobierno Regional,5071,Chipe,Centros de salud o centros medicos,Establecimiento de salud sin internamiento,Amazonas,Bagua,Imaza,10205,Avenida Principal S/N - Centro Poblado Chipe Numero S/N Distrito Imaza Provincia Bagua Departamento Amazonas ,1,2,11,I-3,SN,8:00 - 14:00,-78.28845567,-4.79250109
Gobierno Regional,5084,Chiriaco,Centros de salud o centros medicos,Establecimiento de salud sin internamiento,Amazonas,Bagua,Imaza,10205,Otros Centro Poblado Chiriaco S/N Numero S/N Distrito Imaza Provincia Bagua Departamento Amazonas ,1,2,5,I-3,730386,8:00 - 14:00,-78.287257,-5.1594417
Gobierno Regional,5087,Pakuit,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Imaza,10205,Otros Comunidad  Nativa de Pakuit S/N Numero S/N Distrito Imaza Provincia Bagua Departamento Amazonas ,1,2,5,I-1,SN,8:00 - 14:00,-78.26808986,-5.2081077
Gobierno Regional,14209,Kusu Grande,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Imaza,10205,Otros Caserio Kusu Grande Distrito Imaza Provincia Bagua Departamento Amazonas ,1,2,4,I-1,SN,8:00-14:00,-78.26427824,-5.04509612
Gobierno Regional,5091,Nayumpin,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Imaza,10205,Otros Comunidad Nativa de Nayumpin S/N Numero S/N Distrito Imaza Provincia Bagua Departamento Amazonas ,1,2,5,I-1,SN,8:00 - 14:00,-78.25472263,-5.23070271
Gobierno Regional,5086,Wawain,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Imaza,10205,Otros Cc.Nn. Shushug Distrito Imaza Provincia Bagua Departamento Amazonas ,1,2,5,I-1,SN,8:00 - 14:00,-78.23646555,-5.14588305
Gobierno Regional,5075,Tupac Amaru I,Centros de salud o centros medicos,Establecimiento de salud sin internamiento,Amazonas,Bagua,Imaza,10205,Otros Centro Poblado Tupac Amaru S/N - Imaza - Bagua Capital S/N Centro Poblado Tupac Amaru S/N - Imaza - Bagua Capital Imaza Bagua Amazonas ,1,2,8,I-3,SN,8:00 - 14:00,-78.20610435,-4.89503823
Gobierno Regional,6986,Wawico,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Imaza,10205,Otros Comunidad Nativa de Wawico S/N Numero S/N Distrito Imaza Provincia Bagua Departamento Amazonas ,1,2,8,I-1,SN,8:00 - 14:00,-78.19867763,-4.9358265
Gobierno Regional,6719,Centro Wawik,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Imaza,10205,Otros Comunidad Nativa de Wawik S/N Numero S/N Distrito Imaza Provincia Bagua Departamento Amazonas ,1,2,8,I-1,SN,8:00 - 14:00,-78.19816424,-4.80760375
Gobierno Regional,5083,Bichanak,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Imaza,10205,Otros Comunidad Nativa de Bichanak  S/N Numero S/N Distrito Imaza Provincia Bagua Departamento Amazonas ,1,2,8,I-1,SN,8:00 - 14:00,-78.19650613,-4.93879567
Gobierno Regional,14210,Nuevo Belen,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Imaza,10205,Otros Comunidad Nativa Nuevo Belen Distrito Imaza Provincia Bagua Departamento Amazonas ,1,2,8,I-1,SN,8:00-14:00,-78.19190105,-4.83834236
Gobierno Regional,5074,Jempest-Chicais,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Imaza,10205,Otros Comunidad Nativa de Chicais S/N Numero S/N Distrito Imaza Provincia Bagua Departamento Amazonas ,1,2,11,I-1,SN,8:00 - 14:00,-78.18785343,-4.69733252
Gobierno Regional,7233,San Pablo,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Imaza,10205,Otros Comunidad Nativa de San Pablo S/N Numero S/N Distrito Imaza Provincia Bagua Departamento Amazonas ,1,2,11,I-1,SN,8:00 - 14:00,-78.1833502,-4.75994492
Gobierno Regional,7232,Nueva Vida,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Imaza,10205,Otros Comunidad Nativa de Nueva Vida S/N Numero S/N Distrito Imaza Provincia Bagua Departamento Amazonas ,1,2,11,I-1,SN,8:00 - 14:00,-78.15277009,-4.64815323
Gobierno Regional,5090,Shimpuents,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Imaza,10205,Otros Shimpuents S/N Numero S/N Distrito Imaza Provincia Bagua Departamento Amazonas ,1,2,5,I-1,SN,8:00 - 14:00,-78.14707381,-5.19264833
Gobierno Regional,5046,San Isidro,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,La peca,10206,Otros Anexo San Isidro S/N Numero S/N Distrito la Peca Provincia Bagua Departamento Amazonas ,1,2,6,I-1,sn,8:00 - 14:00,-78.48168473,-5.55421599
Gobierno Regional,7006,San Francisco,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,La peca,10206,Otros San Francisco S/N Numero S/N Distrito la Peca Provincia Bagua Departamento Amazonas ,1,2,1,I-1,SN,8:00 - 14:00,-78.44988377,-5.62242794
Gobierno Regional,5052,Arrayan,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,La peca,10206,Otros Anexo Arrayan S/N Numero S/N Distrito la Peca Provincia Bagua Departamento Amazonas ,1,2,1,I-1,SN,8:00 - 14:00,-78.4426359,-5.60022326
Gobierno Regional,5049,La Peca,Centros de salud o centros medicos,Establecimiento de salud sin internamiento,Amazonas,Bagua,La peca,10206,Otros la Peca S/N Numero S/N Distrito la Peca Provincia Bagua Departamento Amazonas ,1,2,1,I-3,SN,8.00 - 19.00,-78.43618046,-5.60813775
Gobierno Regional,5051,El Triunfo,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,La peca,10206,Otros Anexo El Triunfo S/N Numero S/N Distrito la Peca Provincia Bagua Departamento Amazonas ,1,2,1,I-1,SN,8:00 - 1400,-78.42151785,-5.63867479
Gobierno Regional,5050,Chonza Alta,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,La peca,10206,Otros Chonza Alta Distrito la Peca Provincia Bagua Departamento Amazonas ,1,2,1,I-1,sn,8:00 - 14:00,-78.40155231,-5.61956241
Gobierno Regional,4915,Chisquilla,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bongara,Chisquilla,10302,Avenida S/N - Carretera A Jumbilla - Chisquilla,1,1,4,I-1,041-477044,8:00 - 14:00,-77.79387234,-5.89015508
Gobierno Regional,4919,Churuja,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bongara,Churuja,10303,Jirón Churuja S/N S/N Jirón Churuja S/N Churuja Bongara Amazonas ,1,1,2,I-2,041-477044,8:00 - 20:00,-77.95452493,-6.01546751
Gobierno Regional,4916,Corosha,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bongara,Corosha,10304,Avenida S/N - Carretera A Jumbilla - Corosha,1,1,4,I-1,041-477044,8:00 - 14:00,-77.82779517,-5.81849803
Gobierno Regional,4932,Pomacochas,Centros de salud con camas de internamiento,Establecimiento de salud con internamiento,Amazonas,Bongara,Florida,10306,Jirón Pomacochas S/N Numero S/N Distrito Florida Provincia Bongara Departamento Amazonas ,1,1,3,I-4,041-830163,24 HORAS,-77.96734866,-5.82481484
