institucion,codigo,nombre _establecimiento,clasificacion,tipo,departamento,provincia,distrito,ubigeo,direccion,codigo_DISA,codigo_red,codigo_microrred,categoria,telefono,horario,longitude,latitude
GOBIERNO REGIONAL,7199,ZAPATALGO,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,UTCUBAMBA,LONYA GRANDE,10706,OTROS SECTOR ANEXO ZAPATALGO S/N - CENTRO POBLADO ZAPATALGO NUMERO S/N DISTRITO LONYA GRANDE PROVINCIA UTCUBAMBA DEPARTAMENTO AMAZONAS ,1,3,8,I-1,41475205,8:00 - 14:00,-78.4917098,-6.07542279
GOBIERNO REGIONAL,5047,CRUCE ALENYA,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,BAGUA,BAGUA,10201,OTROS CRUCE ALENYA S/N NUMERO S/N DISTRITO BAGUA PROVINCIA BAGUA DEPARTAMENTO AMAZONAS ,1,2,6,I-1,sn,8:00 - 14:00,-78.48929543,-5.67015768
GOBIERNO REGIONAL,5136,LA VICTORIA,CENTROS DE SALUD O CENTROS MEDICOS,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,10701,OTROS ANEXO LA VICTORIA S/N NUMERO S/N DISTRITO BAGUA GRANDE PROVINCIA UTCUBAMBA DEPARTAMENTO AMAZONAS ,1,3,1,I-3,41475205,8:00 - 13.00  -14.30,-78.48780945,-5.71436361
GOBIERNO REGIONAL,5061,SHAIM,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,BAGUA,ARAMANGO,10202,OTROS SHAIM S/N NUMERO S/N DISTRITO ARAMANGO PROVINCIA BAGUA DEPARTAMENTO AMAZONAS ,1,2,2,I-1,SN,8:00 - 14:00,-78.48746756,-5.23914833
GOBIERNO REGIONAL,5060,LA LIBERTAD,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,BAGUA,ARAMANGO,10202,OTROS LA LIBERTAD S/N NUMERO S/N DISTRITO ARAMANGO PROVINCIA BAGUA DEPARTAMENTO AMAZONAS ,1,2,9,I-1,730387,8:00 - 14:00,-78.48675871,-5.44720018
GOBIERNO REGIONAL,7204,LA UNION,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,UTCUBAMBA,LONYA GRANDE,10706,AVENIDA AVENIDA PRINCIPAL S/N - CENTRO POBLADO MENOR LA UNION NUMERO S/N DISTRITO LONYA GRANDE PROVINCIA UTCUBAMBA DEPARTAMENTO AMAZONAS ,1,3,8,I-1,41475205,8:00 - 14:00,-78.48410361,-6.03208966
GOBIERNO REGIONAL,7758,UNION PROGRESO,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,BAGUA,EL PARCO,10204,OTROS CENTRO POBLADO UNION PROGRESO  S/N NUMERO S/N DISTRITO EL PARCO PROVINCIA BAGUA DEPARTAMENTO AMAZONAS ,1,2,6,I-1,SN,8:00 - 14:00,-78.48223036,-5.57428761
GOBIERNO REGIONAL,5046,SAN ISIDRO,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,BAGUA,LA PECA,10206,OTROS ANEXO SAN ISIDRO S/N NUMERO S/N DISTRITO LA PECA PROVINCIA BAGUA DEPARTAMENTO AMAZONAS ,1,2,6,I-1,sn,8:00 - 14:00,-78.48168473,-5.55421599
GOBIERNO REGIONAL,7262,TOLOPAMPA,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,BAGUA,EL PARCO,10204,OTROS TOLOPAMPA S/N NUMERO S/N DISTRITO EL PARCO PROVINCIA BAGUA DEPARTAMENTO AMAZONAS ,1,2,6,I-1,SN,8:00 - 14:00,-78.48162929,-5.60118938
GOBIERNO REGIONAL,7299,ALENYA,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,BAGUA,COPALLIN,10203,OTROS CENTRO POBLADO MENOR ALENYA DISTRITO COPALLIN PROVINCIA BAGUA DEPARTAMENTO AMAZONAS ,1,2,6,I-1,SN,8:00 - 14:00,-78.47972571,-5.68677213
GOBIERNO REGIONAL,5168,SHAMATAK GRANDE,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,CONDORCANQUI,EL CENEPA,10402,OTROS CC.NN SHAMATAK GRANDE DISTRITO EL CENEPA PROVINCIA CONDORCANQUI DEPARTAMENTO AMAZONAS ,1,4,5,I-1,NO TIENE,8:00 - 18:00,-78.47882333,-4.57846
GOBIERNO REGIONAL,5193,EL PARCO,CENTROS DE SALUD O CENTROS MEDICOS,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,BAGUA,EL PARCO,10204,JIRON JR. AMAZONAS S/N NUMERO S/N DISTRITO EL PARCO PROVINCIA BAGUA DEPARTAMENTO AMAZONAS ,1,2,6,I-3,800603,8:00 - 16:00,-78.47681192,-5.62495543
GOBIERNO REGIONAL,7726,EL BALCON,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,10701,OTROS EL BALCON S/N NUMERO S/N DISTRITO BAGUA GRANDE PROVINCIA UTCUBAMBA DEPARTAMENTO AMAZONAS ,1,3,10,I-1,41475205,8:00 - 14:00,-78.46848147,-5.88542669
GOBIERNO REGIONAL,5170,PAMPA ENTZA,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,CONDORCANQUI,EL CENEPA,10402,OTROS ACTUALIZAR DISTRITO EL CENEPA PROVINCIA CONDORCANQUI DEPARTAMENTO AMAZONAS ,1,4,5,I-1,NO TIENE,8:00 - 18:00,-78.46205,-4.52902333
GOBIERNO REGIONAL,5123,SAN MIGUEL,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,UTCUBAMBA,LONYA GRANDE,10706,OTROS SAN MIGUEL S/N NUMERO S/N DISTRITO LONYA GRANDE PROVINCIA UTCUBAMBA DEPARTAMENTO AMAZONAS ,1,3,8,I-1,41475205,8:00 - 14:00,-78.46091437,-5.9888776
